iteration, site 1, site 2, a, b, i, j, value
0, 1, 2, 4, 4, 0, 0, 0.0
0, 2, 0, 1, 1, 0, 0, 0.0
0, 2, 0, 1, 2, 0, 0, 0.0
0, 2, 0, 1, 3, 0, 0, 0.0
0, 2, 0, 1, 4, 0, 0, 0.0
0, 2, 0, 2, 1, 0, 0, 0.0
0, 2, 0, 2, 2, 0, 0, 0.0
0, 2, 0, 2, 3, 0, 0, 0.0
0, 2, 0, 2, 4, 0, 0, 0.0
0, 2, 0, 3, 1, 0, 0, 0.0
0, 2, 0, 3, 2, 0, 0, 0.0
0, 2, 0, 3, 3, 0, 0, 0.0
0, 2, 0, 3, 4, 0, 0, 0.0
0, 2, 0, 4, 1, 0, 0, 0.0
0, 2, 0, 4, 2, 0, 0, 0.0
0, 2, 0, 4, 3, 0, 0, 0.0
0, 2, 0, 4, 4, 0, 0, 0.0
0, 2, 1, 1, 1, 0, 0, 0.0
0, 2, 1, 1, 2, 0, 0, 0.0
0, 2, 1, 1, 3, 0, 0, 0.0
0, 2, 1, 1, 4, 0, 0, 0.0
0, 2, 1, 2, 1, 0, 0, 0.0
0, 2, 1, 2, 2, 0, 0, 0.0
0, 2, 1, 2, 3, 0, 0, 0.0
0, 2, 1, 2, 4, 0, 0, 0.0
0, 2, 1, 3, 1, 0, 0, 0.0
0, 2, 1, 3, 2, 0, 0, 0.0
0, 2, 1, 3, 3, 0, 0, 0.0
0, 2, 1, 3, 4, 0, 0, 0.0
0, 2, 1, 4, 1, 0, 0, 0.0
0, 2, 1, 4, 2, 0, 0, 0.0
0, 2, 1, 4, 3, 0, 0, 0.0
0, 2, 1, 4, 4, 0, 0, 0.0
0, 2, 2, 1, 1, 0, 0, 0.0
0, 2, 2, 1, 2, 0, 0, 0.0
0, 2, 2, 1, 3, 0, 0, 0.0
0, 2, 2, 1, 4, 0, 0, 0.0
0, 2, 2, 2, 1, 0, 0, 0.0
0, 2, 2, 2, 2, 0, 0, 0.0
0, 2, 2, 2, 3, 0, 0, 0.0
0, 2, 2, 2, 4, 0, 0, 0.0
0, 2, 2, 3, 1, 0, 0, 0.0
0, 2, 2, 3, 2, 0, 0, 0.0
0, 2, 2, 3, 3, 0, 0, 0.0
0, 2, 2, 3, 4, 0, 0, 0.0
0, 2, 2, 4, 1, 0, 0, 0.0
0, 2, 2, 4, 2, 0, 0, 0.0
0, 2, 2, 4, 3, 0, 0, 0.0
0, 2, 2, 4, 4, 0, 0, 0.0
1, 0, 0, 1, 1, 0, 0, 0.0
1, 0, 0, 1, 2, 0, 0, 0.0
1, 0, 0, 1, 3, 0, 0, 0.0
1, 0, 0, 1, 4, 0, 0, 0.0
1, 0, 0, 2, 1, 0, 0, 0.0
1, 0, 0, 2, 2, 0, 0, 0.0
1, 0, 0, 2, 3, 0, 0, 0.0
1, 0, 0, 2, 4, 0, 0, 0.0
1, 0, 0, 3, 1, 0, 0, 0.0
1, 0, 0, 3, 2, 0, 0, 0.0
1, 0, 0, 3, 3, 0, 0, 0.0
1, 0, 0, 3, 4, 0, 0, 0.0
1, 0, 0, 4, 1, 0, 0, 0.0
1, 0, 0, 4, 2, 0, 0, 0.0
1, 0, 0, 4, 3, 0, 0, 0.0
1, 0, 0, 4, 4, 0, 0, 0.0
1, 0, 1, 1, 1, 0, 0, -0.037500000000000006
1, 0, 1, 1, 2, 0, 0, 0.0125
1, 0, 1, 1, 3, 0, 0, 0.0
1, 0, 1, 1, 4, 0, 0, 0.0
1, 0, 1, 2, 1, 0, 0, 0.0125
1, 0, 1, 2, 2, 0, 0, -0.037500000000000006
1, 0, 1, 2, 3, 0, 0, 0.0
1, 0, 1, 2, 4, 0, 0, 0.0
1, 0, 1, 3, 1, 0, 0, 0.0
1, 0, 1, 3, 2, 0, 0, 0.0
1, 0, 1, 3, 3, 0, 0, 0.0
1, 0, 1, 3, 4, 0, 0, 0.0
1, 0, 1, 4, 1, 0, 0, 0.0
1, 0, 1, 4, 2, 0, 0, 0.0
1, 0, 1, 4, 3, 0, 0, 0.0
1, 0, 1, 4, 4, 0, 0, 0.0
1, 0, 2, 1, 1, 0, 0, -0.037500000000000006
1, 0, 2, 1, 2, 0, 0, 0.0125
1, 0, 2, 1, 3, 0, 0, 0.0
1, 0, 2, 1, 4, 0, 0, 0.0
1, 0, 2, 2, 1, 0, 0, 0.0125
1, 0, 2, 2, 2, 0, 0, -0.037500000000000006
1, 0, 2, 2, 3, 0, 0, 0.0
1, 0, 2, 2, 4, 0, 0, 0.0
1, 0, 2, 3, 1, 0, 0, 0.0
1, 0, 2, 3, 2, 0, 0, 0.0
1, 0, 2, 3, 3, 0, 0, 0.0
1, 0, 2, 3, 4, 0, 0, 0.0
1, 0, 2, 4, 1, 0, 0, 0.0
1, 0, 2, 4, 2, 0, 0, 0.0
1, 0, 2, 4, 3, 0, 0, 0.0
1, 0, 2, 4, 4, 0, 0, 0.0
1, 1, 0, 1, 1, 0, 0, -0.037500000000000006
1, 1, 0, 1, 2, 0, 0, 0.0125
1, 1, 0, 1, 3, 0, 0, 0.0
1, 1, 0, 1, 4, 0, 0, 0.0
1, 1, 0, 2, 1, 0, 0, 0.0125
1, 1, 0, 2, 2, 0, 0, -0.037500000000000006
1, 1, 0, 2, 3, 0, 0, 0.0
1, 1, 0, 2, 4, 0, 0, 0.0
1, 1, 0, 3, 1, 0, 0, 0.0
1, 1, 0, 3, 2, 0, 0, 0.0
1, 1, 0, 3, 3, 0, 0, 0.0
1, 1, 0, 3, 4, 0, 0, 0.0
1, 1, 0, 4, 1, 0, 0, 0.0
1, 1, 0, 4, 2, 0, 0, 0.0
1, 1, 0, 4, 3, 0, 0, 0.0
1, 1, 0, 4, 4, 0, 0, 0.0
1, 1, 1, 1, 1, 0, 0, 0.0
1, 1, 1, 1, 2, 0, 0, 0.0
1, 1, 1, 1, 3, 0, 0, 0.0
1, 1, 1, 1, 4, 0, 0, 0.0
1, 1, 1, 2, 1, 0, 0, 0.0
1, 1, 1, 2, 2, 0, 0, 0.0
1, 1, 1, 2, 3, 0, 0, 0.0
1, 1, 1, 2, 4, 0, 0, 0.0
1, 1, 1, 3, 1, 0, 0, 0.0
1, 1, 1, 3, 2, 0, 0, 0.0
1, 1, 1, 3, 3, 0, 0, 0.0
1, 1, 1, 3, 4, 0, 0, 0.0
1, 1, 1, 4, 1, 0, 0, 0.0
1, 1, 1, 4, 2, 0, 0, 0.0
1, 1, 1, 4, 3, 0, 0, 0.0
1, 1, 1, 4, 4, 0, 0, 0.0
1, 1, 2, 1, 1, 0, 0, -0.037500000000000006
1, 1, 2, 1, 2, 0, 0, 0.0125
1, 1, 2, 1, 3, 0, 0, 0.0
1, 1, 2, 1, 4, 0, 0, 0.0
1, 1, 2, 2, 1, 0, 0, 0.0125
1, 1, 2, 2, 2, 0, 0, -0.037500000000000006
1, 1, 2, 2, 3, 0, 0, 0.0
1, 1, 2, 2, 4, 0, 0, 0.0
1, 1, 2, 3, 1, 0, 0, 0.0
1, 1, 2, 3, 2, 0, 0, 0.0
1, 1, 2, 3, 3, 0, 0, 0.0
1, 1, 2, 3, 4, 0, 0, 0.0
1, 1, 2, 4, 1, 0, 0, 0.0
1, 1, 2, 4, 2, 0, 0, 0.0
1, 1, 2, 4, 3, 0, 0, 0.0
1, 1, 2, 4, 4, 0, 0, 0.0
1, 2, 0, 1, 1, 0, 0, -0.037500000000000006
1, 2, 0, 1, 2, 0, 0, 0.0125
1, 2, 0, 1, 3, 0, 0, 0.0
1, 2, 0, 1, 4, 0, 0, 0.0
1, 2, 0, 2, 1, 0, 0, 0.0125
1, 2, 0, 2, 2, 0, 0, -0.037500000000000006
1, 2, 0, 2, 3, 0, 0, 0.0
1, 2, 0, 2, 4, 0, 0, 0.0
1, 2, 0, 3, 1, 0, 0, 0.0
1, 2, 0, 3, 2, 0, 0, 0.0
1, 2, 0, 3, 3, 0, 0, 0.0
1, 2, 0, 3, 4, 0, 0, 0.0
1, 2, 0, 4, 1, 0, 0, 0.0
1, 2, 0, 4, 2, 0, 0, 0.0
1, 2, 0, 4, 3, 0, 0, 0.0
1, 2, 0, 4, 4, 0, 0, 0.0
1, 2, 1, 1, 1, 0, 0, -0.037500000000000006
1, 2, 1, 1, 2, 0, 0, 0.0125
1, 2, 1, 1, 3, 0, 0, 0.0
1, 2, 1, 1, 4, 0, 0, 0.0
1, 2, 1, 2, 1, 0, 0, 0.0125
1, 2, 1, 2, 2, 0, 0, -0.037500000000000006
1, 2, 1, 2, 3, 0, 0, 0.0
1, 2, 1, 2, 4, 0, 0, 0.0
1, 2, 1, 3, 1, 0, 0, 0.0
1, 2, 1, 3, 2, 0, 0, 0.0
1, 2, 1, 3, 3, 0, 0, 0.0
1, 2, 1, 3, 4, 0, 0, 0.0
1, 2, 1, 4, 1, 0, 0, 0.0
1, 2, 1, 4, 2, 0, 0, 0.0
1, 2, 1, 4, 3, 0, 0, 0.0
1, 2, 1, 4, 4, 0, 0, 0.0
1, 2, 2, 1, 1, 0, 0, 0.0
1, 2, 2, 1, 2, 0, 0, 0.0
1, 2, 2, 1, 3, 0, 0, 0.0
1, 2, 2, 1, 4, 0, 0, 0.0
1, 2, 2, 2, 1, 0, 0, 0.0
1, 2, 2, 2, 2, 0, 0, 0.0
1, 2, 2, 2, 3, 0, 0, 0.0
1, 2, 2, 2, 4, 0, 0, 0.0
1, 2, 2, 3, 1, 0, 0, 0.0
1, 2, 2, 3, 2, 0, 0, 0.0
1, 2, 2, 3, 3, 0, 0, 0.0
1, 2, 2, 3, 4, 0, 0, 0.0
1, 2, 2, 4, 1, 0, 0, 0.0
1, 2, 2, 4, 2, 0, 0, 0.0
1, 2, 2, 4, 3, 0, 0, 0.0
1, 2, 2, 4, 4, 0, 0, 0.0
2, 0, 0, 1, 1, 0, 0, 0.0
2, 0, 0, 1, 2, 0, 0, 0.0
2, 0, 0, 1, 3, 0, 0, 0.0
2, 0, 0, 1, 4, 0, 0, 0.0
2, 0, 0, 2, 1, 0, 0, 0.0
2, 0, 0, 2, 2, 0, 0, 0.0
2, 0, 0, 2, 3, 0, 0, 0.0
2, 0, 0, 2, 4, 0, 0, 0.0
2, 0, 0, 3, 1, 0, 0, 0.0
2, 0, 0, 3, 2, 0, 0, 0.0
2, 0, 0, 3, 3, 0, 0, 0.0
2, 0, 0, 3, 4, 0, 0, 0.0
2, 0, 0, 4, 1, 0, 0, 0.0
2, 0, 0, 4, 2, 0, 0, 0.0
2, 0, 0, 4, 3, 0, 0, 0.0
2, 0, 0, 4, 4, 0, 0, 0.0
2, 0, 1, 1, 1, 0, 0, -0.03925781250000001
2, 0, 1, 1, 2, 0, 0, 0.015585937500000003
2, 0, 1, 1, 3, 0, 0, 0.0
2, 0, 1, 1, 4, 0, 0, 0.0
2, 0, 1, 2, 1, 0, 0, 0.015585937500000003
2, 0, 1, 2, 2, 0, 0, -0.03925781250000001
2, 0, 1, 2, 3, 0, 0, 0.0
2, 0, 1, 2, 4, 0, 0, 0.0
2, 0, 1, 3, 1, 0, 0, 0.0
2, 0, 1, 3, 2, 0, 0, 0.0
2, 0, 1, 3, 3, 0, 0, 0.0003515625000000001
2, 0, 1, 3, 4, 0, 0, 3.906250000000001e-05
2, 0, 1, 4, 1, 0, 0, 0.0
2, 0, 1, 4, 2, 0, 0, 0.0
2, 0, 1, 4, 3, 0, 0, 3.906250000000001e-05
2, 0, 1, 4, 4, 0, 0, 0.0003515625000000001
2, 0, 2, 1, 1, 0, 0, -0.03925781250000001
2, 0, 2, 1, 2, 0, 0, 0.015585937500000003
2, 0, 2, 1, 3, 0, 0, 0.0
2, 0, 2, 1, 4, 0, 0, 0.0
2, 0, 2, 2, 1, 0, 0, 0.015585937500000003
2, 0, 2, 2, 2, 0, 0, -0.03925781250000001
2, 0, 2, 2, 3, 0, 0, 0.0
2, 0, 2, 2, 4, 0, 0, 0.0
2, 0, 2, 3, 1, 0, 0, 0.0
2, 0, 2, 3, 2, 0, 0, 0.0
2, 0, 2, 3, 3, 0, 0, 0.0003515625000000001
2, 0, 2, 3, 4, 0, 0, 3.906250000000001e-05
2, 0, 2, 4, 1, 0, 0, 0.0
2, 0, 2, 4, 2, 0, 0, 0.0
2, 0, 2, 4, 3, 0, 0, 3.906250000000001e-05
2, 0, 2, 4, 4, 0, 0, 0.0003515625000000001
2, 1, 0, 1, 1, 0, 0, -0.03925781250000001
2, 1, 0, 1, 2, 0, 0, 0.015585937500000003
2, 1, 0, 1, 3, 0, 0, 0.0
2, 1, 0, 1, 4, 0, 0, 0.0
2, 1, 0, 2, 1, 0, 0, 0.015585937500000003
2, 1, 0, 2, 2, 0, 0, -0.03925781250000001
2, 1, 0, 2, 3, 0, 0, 0.0
2, 1, 0, 2, 4, 0, 0, 0.0
2, 1, 0, 3, 1, 0, 0, 0.0
2, 1, 0, 3, 2, 0, 0, 0.0
2, 1, 0, 3, 3, 0, 0, 0.0003515625000000001
2, 1, 0, 3, 4, 0, 0, 3.906250000000001e-05
2, 1, 0, 4, 1, 0, 0, 0.0
2, 1, 0, 4, 2, 0, 0, 0.0
2, 1, 0, 4, 3, 0, 0, 3.906250000000001e-05
2, 1, 0, 4, 4, 0, 0, 0.0003515625000000001
2, 1, 1, 1, 1, 0, 0, 0.0
2, 1, 1, 1, 2, 0, 0, 0.0
2, 1, 1, 1, 3, 0, 0, 0.0
2, 1, 1, 1, 4, 0, 0, 0.0
2, 1, 1, 2, 1, 0, 0, 0.0
2, 1, 1, 2, 2, 0, 0, 0.0
2, 1, 1, 2, 3, 0, 0, 0.0
2, 1, 1, 2, 4, 0, 0, 0.0
2, 1, 1, 3, 1, 0, 0, 0.0
2, 1, 1, 3, 2, 0, 0, 0.0
2, 1, 1, 3, 3, 0, 0, 0.0
2, 1, 1, 3, 4, 0, 0, 0.0
2, 1, 1, 4, 1, 0, 0, 0.0
2, 1, 1, 4, 2, 0, 0, 0.0
2, 1, 1, 4, 3, 0, 0, 0.0
2, 1, 1, 4, 4, 0, 0, 0.0
2, 1, 2, 1, 1, 0, 0, -0.03925781250000001
2, 1, 2, 1, 2, 0, 0, 0.015585937500000003
2, 1, 2, 1, 3, 0, 0, 0.0
2, 1, 2, 1, 4, 0, 0, 0.0
2, 1, 2, 2, 1, 0, 0, 0.015585937500000003
2, 1, 2, 2, 2, 0, 0, -0.03925781250000001
2, 1, 2, 2, 3, 0, 0, 0.0
2, 1, 2, 2, 4, 0, 0, 0.0
2, 1, 2, 3, 1, 0, 0, 0.0
2, 1, 2, 3, 2, 0, 0, 0.0
2, 1, 2, 3, 3, 0, 0, 0.0003515625000000001
2, 1, 2, 3, 4, 0, 0, 3.906250000000001e-05
2, 1, 2, 4, 1, 0, 0, 0.0
2, 1, 2, 4, 2, 0, 0, 0.0
2, 1, 2, 4, 3, 0, 0, 3.906250000000001e-05
2, 1, 2, 4, 4, 0, 0, 0.0003515625000000001
2, 2, 0, 1, 1, 0, 0, -0.03925781250000001
2, 2, 0, 1, 2, 0, 0, 0.015585937500000003
2, 2, 0, 1, 3, 0, 0, 0.0
2, 2, 0, 1, 4, 0, 0, 0.0
2, 2, 0, 2, 1, 0, 0, 0.015585937500000003
2, 2, 0, 2, 2, 0, 0, -0.03925781250000001
2, 2, 0, 2, 3, 0, 0, 0.0
2, 2, 0, 2, 4, 0, 0, 0.0
2, 2, 0, 3, 1, 0, 0, 0.0
2, 2, 0, 3, 2, 0, 0, 0.0
2, 2, 0, 3, 3, 0, 0, 0.0003515625000000001
2, 2, 0, 3, 4, 0, 0, 3.906250000000001e-05
2, 2, 0, 4, 1, 0, 0, 0.0
2, 2, 0, 4, 2, 0, 0, 0.0
2, 2, 0, 4, 3, 0, 0, 3.906250000000001e-05
2, 2, 0, 4, 4, 0, 0, 0.0003515625000000001
2, 2, 1, 1, 1, 0, 0, -0.03925781250000001
2, 2, 1, 1, 2, 0, 0, 0.015585937500000003
2, 2, 1, 1, 3, 0, 0, 0.0
2, 2, 1, 1, 4, 0, 0, 0.0
2, 2, 1, 2, 1, 0, 0, 0.015585937500000003
2, 2, 1, 2, 2, 0, 0, -0.03925781250000001
2, 2, 1, 2, 3, 0, 0, 0.0
2, 2, 1, 2, 4, 0, 0, 0.0
2, 2, 1, 3, 1, 0, 0, 0.0
2, 2, 1, 3, 2, 0, 0, 0.0
2, 2, 1, 3, 3, 0, 0, 0.0003515625000000001
2, 2, 1, 3, 4, 0, 0, 3.906250000000001e-05
2, 2, 1, 4, 1, 0, 0, 0.0
2, 2, 1, 4, 2, 0, 0, 0.0
2, 2, 1, 4, 3, 0, 0, 3.906250000000001e-05
2, 2, 1, 4, 4, 0, 0, 0.0003515625000000001
2, 2, 2, 1, 1, 0, 0, 0.0
2, 2, 2, 1, 2, 0, 0, 0.0
2, 2, 2, 1, 3, 0, 0, 0.0
2, 2, 2, 1, 4, 0, 0, 0.0
2, 2, 2, 2, 1, 0, 0, 0.0
2, 2, 2, 2, 2, 0, 0, 0.0
2, 2, 2, 2, 3, 0, 0, 0.0
2, 2, 2, 2, 4, 0, 0, 0.0
2, 2, 2, 3, 1, 0, 0, 0.0
2, 2, 2, 3, 2, 0, 0, 0.0
2, 2, 2, 3, 3, 0, 0, 0.0
2, 2, 2, 3, 4, 0, 0, 0.0
2, 2, 2, 4, 1, 0, 0, 0.0
2, 2, 2, 4, 2, 0, 0, 0.0
2, 2, 2, 4, 3, 0, 0, 0.0
2, 2, 2, 4, 4, 0, 0, 0.0
3, 0, 0, 1, 1, 0, 0, 0.0
3, 0, 0, 1, 2, 0, 0, 0.0
3, 0, 0, 1, 3, 0, 0, 0.0
3, 0, 0, 1, 4, 0, 0, 0.0
3, 0, 0, 2, 1, 0, 0, 0.0
3, 0, 0, 2, 2, 0, 0, 0.0
3, 0, 0, 2, 3, 0, 0, 0.0
3, 0, 0, 2, 4, 0, 0, 0.0
3, 0, 0, 3, 1, 0, 0, 0.0
3, 0, 0, 3, 2, 0, 0, 0.0
3, 0, 0, 3, 3, 0, 0, 0.0
3, 0, 0, 3, 4, 0, 0, 0.0
3, 0, 0, 4, 1, 0, 0, 0.0
3, 0, 0, 4, 2, 0, 0, 0.0
3, 0, 0, 4, 3, 0, 0, 0.0
3, 0, 0, 4, 4, 0, 0, 0.0
3, 0, 1, 1, 1, 0, 0, -0.03955928535461427
3, 0, 1, 1, 2, 0, 0, 0.01585484886169434
3, 0, 1, 1, 3, 0, 0, 0.0
3, 0, 1, 1, 4, 0, 0, 0.0
3, 0, 1, 2, 1, 0, 0, 0.01585484886169434
3, 0, 1, 2, 2, 0, 0, -0.03955928535461427
3, 0, 1, 2, 3, 0, 0, 0.0
3, 0, 1, 2, 4, 0, 0, 0.0
3, 0, 1, 3, 1, 0, 0, 0.0
3, 0, 1, 3, 2, 0, 0, 0.0
3, 0, 1, 3, 3, 0, 0, 0.0003672457009792329
3, 0, 1, 3, 4, 0, 0, 4.817023100852967e-05
3, 0, 1, 4, 1, 0, 0, 0.0
3, 0, 1, 4, 2, 0, 0, 0.0
3, 0, 1, 4, 3, 0, 0, 4.817023100852967e-05
3, 0, 1, 4, 4, 0, 0, 0.0003672457009792329
3, 0, 2, 1, 1, 0, 0, -0.03955928535461427
3, 0, 2, 1, 2, 0, 0, 0.01585484886169434
3, 0, 2, 1, 3, 0, 0, 0.0
3, 0, 2, 1, 4, 0, 0, 0.0
3, 0, 2, 2, 1, 0, 0, 0.01585484886169434
3, 0, 2, 2, 2, 0, 0, -0.03955928535461427
3, 0, 2, 2, 3, 0, 0, 0.0
3, 0, 2, 2, 4, 0, 0, 0.0
3, 0, 2, 3, 1, 0, 0, 0.0
3, 0, 2, 3, 2, 0, 0, 0.0
3, 0, 2, 3, 3, 0, 0, 0.0003672457009792329
3, 0, 2, 3, 4, 0, 0, 4.817023100852967e-05
3, 0, 2, 4, 1, 0, 0, 0.0
3, 0, 2, 4, 2, 0, 0, 0.0
3, 0, 2, 4, 3, 0, 0, 4.817023100852967e-05
3, 0, 2, 4, 4, 0, 0, 0.0003672457009792329
3, 1, 0, 1, 1, 0, 0, -0.03955928535461427
3, 1, 0, 1, 2, 0, 0, 0.01585484886169434
3, 1, 0, 1, 3, 0, 0, 0.0
3, 1, 0, 1, 4, 0, 0, 0.0
3, 1, 0, 2, 1, 0, 0, 0.01585484886169434
3, 1, 0, 2, 2, 0, 0, -0.03955928535461427
3, 1, 0, 2, 3, 0, 0, 0.0
3, 1, 0, 2, 4, 0, 0, 0.0
3, 1, 0, 3, 1, 0, 0, 0.0
3, 1, 0, 3, 2, 0, 0, 0.0
3, 1, 0, 3, 3, 0, 0, 0.0003672457009792329
3, 1, 0, 3, 4, 0, 0, 4.817023100852967e-05
3, 1, 0, 4, 1, 0, 0, 0.0
3, 1, 0, 4, 2, 0, 0, 0.0
3, 1, 0, 4, 3, 0, 0, 4.817023100852967e-05
3, 1, 0, 4, 4, 0, 0, 0.0003672457009792329
3, 1, 1, 1, 1, 0, 0, 0.0
3, 1, 1, 1, 2, 0, 0, 0.0
3, 1, 1, 1, 3, 0, 0, 0.0
3, 1, 1, 1, 4, 0, 0, 0.0
3, 1, 1, 2, 1, 0, 0, 0.0
3, 1, 1, 2, 2, 0, 0, 0.0
3, 1, 1, 2, 3, 0, 0, 0.0
3, 1, 1, 2, 4, 0, 0, 0.0
3, 1, 1, 3, 1, 0, 0, 0.0
3, 1, 1, 3, 2, 0, 0, 0.0
3, 1, 1, 3, 3, 0, 0, 0.0
3, 1, 1, 3, 4, 0, 0, 0.0
3, 1, 1, 4, 1, 0, 0, 0.0
3, 1, 1, 4, 2, 0, 0, 0.0
3, 1, 1, 4, 3, 0, 0, 0.0
3, 1, 1, 4, 4, 0, 0, 0.0
3, 1, 2, 1, 1, 0, 0, -0.03955928535461427
3, 1, 2, 1, 2, 0, 0, 0.01585484886169434
3, 1, 2, 1, 3, 0, 0, 0.0
3, 1, 2, 1, 4, 0, 0, 0.0
3, 1, 2, 2, 1, 0, 0, 0.01585484886169434
3, 1, 2, 2, 2, 0, 0, -0.03955928535461427
3, 1, 2, 2, 3, 0, 0, 0.0
3, 1, 2, 2, 4, 0, 0, 0.0
3, 1, 2, 3, 1, 0, 0, 0.0
3, 1, 2, 3, 2, 0, 0, 0.0
3, 1, 2, 3, 3, 0, 0, 0.0003672457009792329
3, 1, 2, 3, 4, 0, 0, 4.817023100852967e-05
3, 1, 2, 4, 1, 0, 0, 0.0
3, 1, 2, 4, 2, 0, 0, 0.0
3, 1, 2, 4, 3, 0, 0, 4.817023100852967e-05
3, 1, 2, 4, 4, 0, 0, 0.0003672457009792329
3, 2, 0, 1, 1, 0, 0, -0.03955928535461427
3, 2, 0, 1, 2, 0, 0, 0.01585484886169434
3, 2, 0, 1, 3, 0, 0, 0.0
3, 2, 0, 1, 4, 0, 0, 0.0
3, 2, 0, 2, 1, 0, 0, 0.01585484886169434
3, 2, 0, 2, 2, 0, 0, -0.03955928535461427
3, 2, 0, 2, 3, 0, 0, 0.0
3, 2, 0, 2, 4, 0, 0, 0.0
